"","Male:","Under 5 years","5 to 9 years","10 to 14 years","15 to 17 years","18 and 19 years","20 years","21 years","22 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 and 61 years","62 to 64 years","65 and 66 years","67 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over","Female:","Under 5 years.1","5 to 9 years.1","10 to 14 years.1","15 to 17 years.1","18 and 19 years.1","20 years.1","21 years.1","22 to 24 years.1","25 to 29 years.1","30 to 34 years.1","35 to 39 years.1","40 to 44 years.1","45 to 49 years.1","50 to 54 years.1","55 to 59 years.1","60 and 61 years.1","62 to 64 years.1","65 and 66 years.1","67 to 69 years.1","70 to 74 years.1","75 to 79 years.1","80 to 84 years.1","85 years and over.1","65_both"
"02131","0.47278358735318471","2.729307859793309E-2","2.5759759575577291E-2","2.73237449783802E-2","1.4873194516851179E-2","8.1572571989328106E-3","5.4892821000337329E-3","6.68527093747125E-3","1.0978564200067469E-2","3.6094329786255333E-2","5.2500843325462287E-2","4.4650249931000641E-2","2.9807721794596589E-2","3.1065043392928329E-2","2.8857064000735989E-2","4.4834248213683342E-2","9.8745745039712958E-3","2.0301143855990678E-2","7.0839338832837558E-3","1.4321199668803091E-2","1.392253672299059E-2","6.2559416112116283E-3","2.9746389033702349E-3","3.6799656536538991E-3","0.52721641264681529","3.002238645772639E-2","2.9807721794596589E-2","3.005305283817351E-2","2.0699806801803181E-2","1.0211904688889569E-2","3.2199699469471618E-3","7.3905976877549143E-3","1.5394522984452151E-2","2.505443282529363E-2","4.3270262810880429E-2","4.7348891410346837E-2","4.1246281701370791E-2","3.6247661688490911E-2","3.1831702904106231E-2","3.6922322058327448E-2","1.8798491214081999E-2","1.7939832561562761E-2","1.3462541016283851E-2","1.8154497224692569E-2","1.481186175595694E-2","8.8625839492164748E-3","1.2910546168235761E-2","1.35545401576252E-2","0.129994786715324"
"02132","0.48802814237621522","3.669100124825056E-2","1.9102016113779929E-2","3.0336271135151489E-2","1.5962476831713129E-2","2.7234557627567419E-3","1.7778114006884291E-3","3.101713507584068E-3","6.2412527896508682E-3","3.1849302114460791E-2","4.2137912773764052E-2","3.2832772251011839E-2","3.1697999016529872E-2","2.7688466921360219E-2","4.1532700382040322E-2","3.1319741271702541E-2","2.0615047093089232E-2","1.966940273102092E-2","1.312554374550819E-2","1.40711881075765E-2","2.954192987101411E-2","2.1825471876536669E-2","7.7164579944774374E-3","6.4682074365472629E-3","0.51197185762378483","2.5267617354465331E-2","3.2378862957219048E-2","2.23172069448122E-2","1.8080720202746151E-2","3.4043197034459281E-3","3.0260619586186028E-4","1.4752052048265689E-3","8.2081930627529599E-3","3.0411922684116958E-2","4.5882664447554573E-2","2.878541438135946E-2","3.2303211408253582E-2","3.5594053788251312E-2","4.8606120210311313E-2","3.1319741271702541E-2","1.7286378938608769E-2","2.9125846351704052E-2","1.078034572757877E-2","1.8572455271021679E-2","2.8558459734463061E-2","1.705942429171237E-2","1.074251995309604E-2","1.5508567537920339E-2","0.19397057154745243"
"02134","0.5196073113847155","4.12214568530672E-3","1.258339209198894E-2","1.0901990562455929E-2","1.2420675814937349E-2","2.3865053967565219E-3","1.7085209090416009E-2","1.388512230840158E-2","7.8537723056896463E-2","0.17953029234691109","6.5520420892769979E-2","3.129576395292076E-2","1.0468080490318381E-2","1.9037804415034981E-2","1.160709442967945E-2","1.0142647936215219E-2","4.0136681672723329E-3","7.9730975755274713E-3","3.145848022997234E-3","5.2611596246677876E-3","1.220372077886858E-2","2.7661767098768782E-3","1.4102077344470361E-3","3.3085643000488152E-3","0.4803926886152845","3.525519336117589E-3","8.2985301296306345E-3","8.7866789607853775E-3","7.9730975755274713E-3","3.9051906492379449E-3","1.882084937896621E-2","1.5946195151054939E-2","8.6890491945544282E-2","0.14053262461354879","6.9100178987904756E-2","2.3919292726582421E-2","1.5783478874003359E-2","8.7866789607853775E-3","1.1715571947713841E-2","1.3071540923143681E-2","1.8441178065845851E-3","1.0305364213266799E-2","2.2780278787221352E-3","7.2137549492867596E-3","1.1227423116559091E-2","3.3085643000488152E-3","1.7356402885501979E-3","5.4238759017193683E-3","5.9282963605792695E-2"
"02135","0.48927238805970152","1.325959488272921E-2","1.2038024164889839E-2","1.330401563610519E-2","1.0061300639658851E-2","7.0406894100923951E-3","4.6197583511016346E-3","1.010572139303483E-2","5.5170575692963762E-2","0.12162402274342569","7.1894989339019194E-2","4.1955401563610523E-2","1.3792643923240941E-2","1.8168088130774699E-2","1.9123134328358209E-2","1.781272210376688E-2","8.5509950248756211E-3","8.0401563610518843E-3","4.9307036247334757E-3","4.8640724946695099E-3","1.0838663823738451E-2","9.2173063255152812E-3","4.9529140014214637E-3","7.9068941009239509E-3","0.51072761194029848","1.7501776830135041E-2","7.6403695806680884E-3","7.4848969438521679E-3","6.5742714996446343E-3","1.632462686567164E-2","8.3955223880597014E-3","6.0412224591329068E-3","5.4837420042643921E-2","0.1291311300639659","6.9984896943852168E-2","2.2699004975124379E-2","2.192164179104478E-2","2.149964463397299E-2","1.7945984363894808E-2","1.439232409381663E-2","5.5525941719971571E-3","9.1506751954513153E-3","1.066098081023454E-2","7.2627931769722806E-3","1.7257462686567169E-2","1.1238450604122249E-2","4.1977611940298507E-3","2.303216062544421E-2","0.11636016346837243"
"02136","0.47739761154663352","2.395779910616162E-2","2.9330598090214179E-2","3.8146872786773138E-2","1.919554546120595E-2","1.1942266832735001E-2","7.5707622048013287E-3","6.9846386792683226E-3","1.1185190612254869E-2","4.564436955088285E-2","2.5154467970791509E-2","4.7353896500354119E-2","3.4532444379319613E-2","2.8768896378245049E-2","2.8597943683297919E-2","2.334725376706474E-2","1.135614330720199E-2","2.4324126309619751E-2","6.9113732385766968E-3","1.6289349647104791E-2","1.8487312867853569E-2","8.7430092558673407E-3","6.4717805944269416E-3","3.1015703226121571E-3","0.5226023884533666","3.3140401006178717E-2","4.0320414193958043E-2","3.1626248565218451E-2","1.225975040906538E-2","8.3278384252814617E-3","8.2789947981537111E-3","4.1272864922949166E-3","1.7876767528756689E-2","3.5362786040491367E-2","3.6535033091557381E-2","3.9490072532786281E-2","3.1113390480377069E-2","4.1858988448482182E-2","3.2676386548465088E-2","3.0893594158302191E-2","1.382274647715339E-2","1.978166898673896E-2","1.3725059222897891E-2","1.20399540869905E-2","2.0001465308813832E-2","1.47019317654529E-2","9.3047109678364714E-3","1.533689891811366E-2","0.14511441619654675"
"02138","0.48702057404114812","1.993903987807976E-2","1.9532639065278131E-2","1.91008382016764E-2","9.6774193548387101E-3","5.6997713995427988E-2","2.415544831089662E-2","2.2758445516891029E-2","3.1165862331724661E-2","6.3881127762255518E-2","4.5745491490982983E-2","3.6601473202946412E-2","2.1615443230886461E-2","1.930403860807722E-2","1.8872237744475492E-2","9.0932181864363734E-3","6.1722123444246891E-3","6.2738125476250956E-3","7.7216154432308863E-3","9.0424180848361693E-3","2.143764287528575E-2","6.2738125476250956E-3","5.7912115824231636E-3","5.8674117348234698E-3","0.51297942595885193","2.501905003810008E-2","1.247142494284989E-2","1.3690627381254761E-2","8.763017526035052E-3","5.4279908559817118E-2","2.631445262890526E-2","2.4333248666497331E-2","3.7642875285750568E-2","6.6421132842265682E-2","4.2722885445770888E-2","3.7414274828549657E-2","2.4663449326898651E-2","2.110744221488443E-2","1.155702311404623E-2","1.457962915925832E-2","6.8580137160274323E-3","1.092202184404369E-2","9.2456184912369822E-3","1.5900431800863601E-2","2.072644145288291E-2","9.3726187452374907E-3","6.4262128524257053E-3","1.2547625095250189E-2","0.1303530607061214"
"02139","0.51318407333719496","2.7501448107386611E-2","1.478328758153474E-2","1.5412899488755131E-2","8.2856926990203233E-3","3.0347293928022771E-2","1.1509305663988721E-2","1.5740297680509729E-2","3.9841841488906238E-2","9.7866874858337324E-2","6.6990706928249433E-2","3.8078928148689149E-2","2.473115571561689E-2","2.3623038758909011E-2","2.039942579394061E-2","1.7125443876394589E-2","5.616138212405873E-3","1.3574432719671591E-2","7.4797894577782256E-3","6.7494396454025737E-3","9.6456544186163656E-3","7.7568186969551971E-3","3.8280403958999669E-3","6.2961190722038932E-3","0.48681592666280499","1.3649986148538041E-2","2.029868788878535E-2","1.412849119802554E-2","6.8501775505578361E-3","3.0322109451733949E-2","1.407812224544791E-2","1.3549248243382781E-2","4.5860931321933161E-2","8.3486538897423634E-2","5.2610370967335743E-2","4.0924773969325312E-2","2.3220087138287961E-2","1.621880272999723E-2","1.790616264134787E-2","1.5110685773289339E-2","5.7420605938499512E-3","1.45566272949354E-2","1.0728586899035429E-2","9.7967612763492588E-3","1.183670385574332E-2","1.075377137532425E-2","7.7064497443775654E-3","7.4797894577782256E-3","0.10005792429546427"
"02141","0.5039776392173726","2.4654196230201389E-2","1.454884254282233E-2","9.67533863685229E-3","1.50505267684369E-3","5.0885114312334261E-3","8.9586468859743432E-3","1.211209058983731E-2","4.5581595355837452E-2","0.10764710098186769","8.5357987529563528E-2","4.7731670608471298E-2","4.0278076399340647E-2","1.619723356984161E-2","1.1682075539310541E-2","1.5767218519314841E-2","6.9519099835160898E-3","1.447717336773454E-2","2.7234286533362002E-3","7.3819250340428581E-3","1.1037052963520391E-2","8.8153085357987535E-3","1.290045151580305E-3","4.515158030531069E-3","0.4960223607826274","2.4009173654411239E-2","1.6555579445280581E-2","4.8735039059700424E-3","1.376048161685659E-2","6.0202107073747584E-3","5.160180606321221E-3","3.2967820540385582E-3","6.6150648606034548E-2","9.0733175661148135E-2","5.7263670895148E-2","5.5543610693040923E-2","1.8203970472299859E-2","1.8633985522826631E-2","2.107073747581165E-2","1.9780692324231349E-2","8.6003010105353689E-3","9.1019852361499311E-3","7.6686017343940366E-3","9.5320002866767003E-3","1.6770586970543969E-2","1.1753744714398341E-2","4.013473804916505E-3","7.5252633842184478E-3","9.3026589263957571E-2"
"02142","0.50191754554170664","1.893576222435283E-2","1.414189837008629E-2","0","2.6366251198465958E-3","1.2464046021093E-2","5.2732502396931934E-3","6.2320230105465009E-3","4.9376797698945353E-2","8.5091083413231058E-2","0.114333652924257","4.5781399808245443E-2","2.4928092042186E-2","1.5819750719079581E-2","1.893576222435283E-2","2.301054650047939E-2","1.030680728667306E-2","1.8216682646212849E-2","3.11601150527325E-3","4.7938638542665392E-3","1.030680728667306E-2","3.11601150527325E-3","7.1907957813998084E-3","7.9098753595397888E-3","0.49808245445829341","1.5819750719079581E-2","0","0","2.6366251198465958E-3","2.277085330776606E-2","2.1812080536912751E-2","1.701821668264621E-2","2.8283796740172579E-2","9.6356663470757428E-2","8.4611697027804411E-2","4.1227229146692232E-2","3.5234899328859058E-2","3.3557046979865771E-3","3.068072866730585E-2","3.2598274209012457E-2","5.9923298178331738E-3","6.2320230105465009E-3","4.0747842761265579E-3","1.1025886864813039E-2","1.9894534995206131E-2","1.078619367209971E-2","3.5953978906999042E-3","4.0747842761265579E-3","8.98849472674976E-2"
"02143","0.48757124762507908","1.531823939202027E-2","8.5101329955668149E-3","7.9955668144395184E-3","6.3727042431918936E-3","8.7080430652311594E-3","5.2644078530715644E-3","0","3.0755224825839141E-2","0.1112254591513616","7.1445535148828371E-2","4.9042115262824572E-2","3.8513299556681438E-2","2.7905319822672581E-2","2.4263774540848639E-2","2.3709626345788479E-2","7.4018366054464848E-3","1.207251424952502E-2","3.443635212159595E-3","8.985117162761241E-3","1.626820772640912E-2","3.087397086763775E-3","3.6019632678910701E-3","3.6811272957568081E-3","0.5124287523749208","1.9355604813172899E-2","1.9434768841038629E-2","9.6580113996200135E-3","4.5123495883470548E-3","4.9477517416086133E-3","1.5041165294490181E-3","4.2352754908169732E-3","4.6271374287523752E-2","0.1166877770740975","7.3622545915136159E-2","4.5915136162127931E-2","2.7074097530082331E-2","2.691576947435086E-2","1.9276440785307151E-2","1.971184293856872E-2","9.4996833438885375E-3","1.06871437618746E-2","7.7184927169094367E-3","5.0664977834072198E-3","1.618904369854338E-2","1.215167827739075E-2","9.0246991766941096E-3","2.968651044965168E-3","9.2186510449651662E-2"
"02145","0.51862275667970326","2.5731934646734161E-2","2.8034650389268619E-2","1.5936254980079681E-2","1.1148068277349319E-2","1.034394531963888E-2","3.5820022661646992E-3","5.1536971380532924E-3","3.1762856829562487E-2","9.2839650572023827E-2","6.3781570963851023E-2","5.0403889031031837E-2","3.6441390401695972E-2","2.211338133703717E-2","2.5914689864395629E-2","2.9642896304689501E-2","1.089221097262327E-2","1.447421323878797E-2","1.0453598450235749E-2","8.9915567089440401E-3","6.8350451405387626E-3","8.0412295771044272E-3","1.315837567162542E-3","4.7881867027303633E-3","0.4813772433202968","1.7800358200226619E-2","1.8238970722614128E-2","1.1805987060930591E-2","1.1074966190284729E-2","5.8481669651668554E-3","1.059980262436493E-3","1.4620417412917141E-3","3.9986841624328383E-2","7.123798384443876E-2","6.571877627106254E-2","4.214335319273365E-2","1.9481706202712092E-2","3.2347673526079167E-2","2.0907196900471509E-2","3.3042143353192728E-2","1.37797434116744E-2","1.9043093680324572E-2","6.3964326181512486E-3","9.9053327972513615E-3","1.440111115172338E-2","8.6625973171534053E-3","5.4461054863116339E-3","1.1586680799736831E-2","9.6823714317043744E-2"
"02149","0.5146961962786103","3.3632471595587021E-2","3.8984027663428289E-2","3.4579285361435862E-2","1.9492013831714141E-2","1.072369504363577E-2","4.6517371974312532E-3","4.8987320928700808E-3","1.920385312036885E-2","5.3515560678412649E-2","4.2071463856413631E-2","5.6314836160052693E-2","3.5176189692079703E-2","3.2953235633130247E-2","3.157418080026346E-2","3.0894944837806689E-2","4.4870739338053684E-3","1.2185081508315491E-2","8.4801580767330815E-3","9.632800922114276E-3","1.5684175860365551E-2","7.3480981393051212E-3","3.9725012349744772E-3","4.2400790383665407E-3","0.48530380372138981","2.5399308414292769E-2","2.4967067347274819E-2","3.2294582578626711E-2","1.7536637576156758E-2","9.3240573028157414E-3","2.6346122180141611E-3","7.1422690597727654E-3","1.6980899061419402E-2","4.429441791536308E-2","4.4582578626708377E-2","3.2726823645644658E-2","2.850732751523135E-2","3.7008068499917668E-2","4.087765519512597E-2","2.9742301992425491E-2","8.5624897085460235E-3","1.7330808496624401E-2","1.370821669685493E-2","1.1217684834513421E-2","1.2082166968549321E-2","1.2041001152642851E-2","6.0307920302980402E-3","1.031203688457105E-2","0.11474971183928867"
"02150","0.51270964033092559","4.5264815416531282E-2","2.9493363993101551E-2","3.4992126771476423E-2","1.7746007148391609E-2","9.6978179909520366E-3","6.2985828188657552E-3","6.7984703441725611E-3","1.554650203704167E-2","4.3340248444100067E-2","6.1436176860206457E-2","3.6441800594866153E-2","4.1265715214076827E-2","3.7841485665725212E-2","2.6793971356444801E-2","2.764378014946637E-2","1.3072058786772979E-2","1.399685070859057E-2","5.9486615511509912E-3","8.7730260691344444E-3","1.177235122097528E-2","5.9736559274163317E-3","3.4492239246169611E-3","9.1229473368492093E-3","0.48729035966907452","3.9766052638156413E-2","2.5094353770401659E-2","3.7091654377765002E-2","2.346971931315454E-2","1.219725561748607E-2","7.1733859881526656E-3","5.9236671748856507E-3","2.0620360418905751E-2","3.9066210102726887E-2","4.4340023494713693E-2","4.3465220325426782E-2","3.6566772476192853E-2","2.796870704091579E-2","2.4344522482441448E-2","2.5244320027993698E-2","8.8480091979304658E-3","1.472168762028544E-2","6.3985603239271162E-3","9.4728686045639724E-3","1.167237371591392E-2","6.6734984628458597E-3","8.7980204453997849E-3","8.3731160488890004E-3","9.6428303631682866E-2"
"02151","0.5030295047418335","3.7835879873551109E-2","2.8483930453108531E-2","1.779834035827187E-2","1.682692307692308E-2","7.5408324552160167E-3","4.4948630136986299E-3","6.0425447839831401E-3","1.1673472075869339E-2","3.1480505795574293E-2","4.9081269757639621E-2","4.3927818756585878E-2","5.3477344573234983E-2","3.9334167544783992E-2","3.6601027397260268E-2","2.907665964172813E-2","1.327054794520548E-2","1.7370258166491039E-2","1.173933087460485E-2","9.5495258166491039E-3","1.4670047418335091E-2","8.2982086406743934E-3","5.7132507903055836E-3","8.7427555321390946E-3","0.4969704952581665","2.677160168598525E-2","2.4927555321390939E-2","3.2188487881981032E-2","1.25131717597471E-2","1.363277133825079E-2","5.7132507903055836E-3","4.066780821917808E-3","1.3369336143308749E-2","3.7457191780821908E-2","4.8340358271865121E-2","3.6189409905163332E-2","3.6683350895679673E-2","3.2748287671232883E-2","3.1628688092729187E-2","2.8961406743940991E-2","1.2496707060063219E-2","2.137118018967334E-2","7.9853793466807162E-3","1.302357744994731E-2","1.931309272918862E-2","1.368216543730242E-2","9.6153846153846159E-3","1.42913593256059E-2","0.13662407797681769"
"02152","0.4828688181056161","2.121751886001676E-2","1.7917015926236381E-2","2.3051131601005869E-2","2.352263202011735E-2","3.876781223805532E-3","9.4300083822296732E-4","2.2527242246437552E-3","1.7131181894383909E-2","3.7300922045264043E-2","4.0810980720871748E-2","3.5467309304274927E-2","1.582145850796312E-2","3.2009639564124059E-2","4.599748533109807E-2","4.0444258172673928E-2","1.6764459346186089E-2","2.278918692372171E-2","1.026823134953898E-2","2.1322296730930428E-2","2.4570410729253981E-2","1.404023470243085E-2","9.1156747694886835E-3","6.2342833193629503E-3","0.5171311818943839","2.3679798826487849E-2","2.1636630343671422E-2","2.7556580050293381E-2","1.6712070410729259E-2","2.4098910310142501E-3","1.110645431684828E-2","4.6102263202011731E-3","1.2311399832355409E-2","2.5618189438390612E-2","3.106663872590109E-2","4.463537300922045E-2","2.9023470243084659E-2","4.3797150041911148E-2","2.9704526404023469E-2","3.0961860854987429E-2","1.7917015926236381E-2","2.6613579212070412E-2","1.5716680637049459E-2","1.472129086336966E-2","3.080469404861693E-2","2.116512992455993E-2","1.0163453478625311E-2","2.5199077954735961E-2","0.20332145850796313"
"02163","0.58143767060964513","9.0991810737033659E-3","2.7297543221110102E-3","0","0","0.12147406733394001","6.5969062784349414E-2","1.8198362147406728E-2","3.5486806187443133E-2","0.15787079162875339","0.14012738853503179","1.4558689717925391E-2","0","0","0","0","1.5923566878980892E-2","0","0","0","0","0","0","0","0.41856232939035493","0","2.7297543221110102E-3","0","0","0.12056414922656961","3.0937215650591449E-2","3.9581437670609648E-2","4.8225659690627837E-2","0.14058234758871699","3.3212010919017293E-2","2.7297543221110102E-3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"02171","0.50424132911710084","1.490739346483963E-2","2.123174220749887E-2","1.7868794860211819E-2","1.310043668122271E-2","1.179541233749937E-2","1.5057973196807709E-3","5.5714500828188528E-3","2.484565577473272E-2","6.2540782010741355E-2","4.9390152085529278E-2","3.9301310043668117E-2","2.4494303066807211E-2","2.7606284194147471E-2","3.8096672187923508E-2","3.1922903177232342E-2","1.9224012447924509E-2","1.94749786678713E-2","7.8803393063293682E-3","2.2837926015158359E-2","2.620087336244541E-2","8.6834312101591125E-3","9.1351704060633442E-3","6.6255082065953923E-3","0.49575867088289921","1.2498117753350401E-2","1.440546102494604E-2","3.031671936957285E-2","1.144405962957386E-2","6.0733825227124432E-3","2.0579230035637202E-3","1.907343271595643E-3","2.6903578778296439E-2","5.3706771068614163E-2","3.8548411383827738E-2","2.936304773377503E-2","3.6490488380264023E-2","2.253676655122221E-2","2.2335993575264768E-2","4.150981277919992E-2","1.7818601616222451E-2","2.349043818702003E-2","1.0942127189680269E-2","2.4695076042764639E-2","1.8169954324147971E-2","1.8270340812126688E-2","1.3451789389148219E-2","1.8822466496009639E-2","0.18571500276062844"
"02186","0.47346378545787288","2.780319560779897E-2","4.033223059055395E-2","4.2514253536988809E-2","2.2101780812275641E-2","1.8723164637150701E-2","7.1795593721404941E-3","8.0242134159217281E-3","1.488702752164426E-2","9.2911944815935801E-3","1.9990145702822551E-2","3.589779686070247E-2","3.5123530653903008E-2","3.6883226578447247E-2","3.1709720560287182E-2","3.4278876610121772E-2","1.115647216161047E-2","1.3584852537481521E-2","1.3620046455972409E-2","1.083972689519251E-2","1.27050045752094E-2","8.9392552966847325E-3","1.326810727106356E-2","4.6104033223059058E-3","0.52653621454212707","2.660660237910889E-2","3.3223059055395229E-2","3.8326177236573521E-2","2.5726754416836771E-2","2.8049553037235161E-2","1.0698951221228971E-2","8.868867459702964E-3","1.720982614204266E-2","2.0060533539804321E-2","2.1116351094530861E-2","2.9703667206306749E-2","4.2127120433589078E-2","2.7486450341381009E-2","3.8361371155064397E-2","3.9522770465263597E-2","1.200112620539171E-2","1.5731681565425499E-2","8.0594073344126133E-3","1.506299711409868E-2","2.1327514605476171E-2","1.7561765326951501E-2","1.4711057929189839E-2","1.499260927711691E-2","0.15569789540367424"
"02199","0.47727272727272729","3.8149350649350648E-2","2.2727272727272731E-2","0","0","0","1.948051948051948E-2","0","5.681818181818182E-3","3.4090909090909088E-2","9.5779220779220783E-2","5.438311688311688E-2","5.6818181818181823E-2","0","2.6785714285714281E-2","4.8701298701298697E-2","0","0","0","1.8668831168831172E-2","9.74025974025974E-3","1.785714285714286E-2","2.0292207792207789E-2","8.1168831168831161E-3","0.52272727272727271","7.305194805194805E-3","0","0","0","1.2175324675324679E-2","0","1.136363636363636E-2","2.5974025974025979E-2","3.6525974025974017E-2","0.101461038961039","7.5487012987012991E-2","7.8733766233766239E-2","2.353896103896104E-2","3.2467532467532458E-2","2.922077922077922E-2","0","0","1.055194805194805E-2","1.542207792207792E-2","1.785714285714286E-2","0","9.74025974025974E-3","3.49025974025974E-2","0.16314935064935066"
"02210","0.55734989648033129","2.5051759834368529E-2","4.7619047619047623E-3","2.4844720496894411E-3","0","7.246376811594203E-3","5.175983436853002E-3","6.6252587991718426E-3","2.9606625258799171E-2","8.9440993788819881E-2","6.480331262939959E-2","6.2111801242236017E-2","4.7204968944099382E-2","6.6666666666666666E-2","2.732919254658385E-2","3.0848861283643891E-2","3.2919254658385091E-2","9.5238095238095247E-3","1.7598343685300211E-2","1.221532091097309E-2","7.8674948240165625E-3","5.5900621118012434E-3","0","2.2774327122153208E-3","0.44265010351966871","1.0973084886128359E-2","8.4886128364389229E-3","0","0","7.246376811594203E-3","0","0","2.4016563146997929E-2","6.0248447204968941E-2","6.5217391304347824E-2","4.1821946169772257E-2","3.5610766045548657E-2","1.4906832298136651E-2","4.3064182194616968E-2","5.56935817805383E-2","8.2815734989648039E-3","2.1532091097308491E-2","1.2422360248447201E-2","1.3043478260869559E-2","1.8012422360248449E-2","0","0","2.070393374741201E-3","9.1097308488612833E-2"
"02215","0.44028465346534651","3.4421410891089109E-3","2.823329207920792E-3","3.9449257425742566E-3","2.9780321782178218E-3","0.1111154084158416","4.641089108910891E-2","3.6819306930693067E-2","4.7300433168316829E-2","6.3505569306930687E-2","4.5714727722772283E-2","1.709467821782178E-2","1.6978650990099011E-2","7.2710396039603964E-3","1.090655940594059E-2","4.2930074257425746E-3","1.314975247524753E-3","4.3703589108910904E-3","2.3978960396039599E-3","1.469678217821782E-3","3.7902227722772281E-3","3.8675742574257428E-4","1.9337871287128711E-3","4.0222772277227724E-3","0.55971534653465349","4.6024133663366334E-3","2.127165841584159E-3","2.127165841584159E-3","1.9337871287128711E-3","0.16429455445544561","8.1257735148514851E-2","5.8980507425742568E-2","5.5615717821782179E-2","7.3406559405940597E-2","4.1034962871287127E-2","2.7885210396039601E-2","7.1163366336633666E-3","4.2543316831683171E-3","5.4919554455445541E-3","7.5417698019801978E-3","2.2045173267326731E-3","5.6079826732673274E-3","1.585705445544555E-3","1.35365099009901E-3","4.9118193069306931E-3","1.121596534653465E-3","2.5912747524752481E-3","2.668626237623763E-3","2.8233292079207922E-2"
"02445","0.46837328368629277","2.1643006748894581E-2","2.7321387014195949E-2","2.9927856644170352E-2","1.8989993018384919E-2","7.2143355829648592E-3","1.070514312310915E-3","3.9097044449616014E-3","5.2874098208052132E-2","5.7481964161042592E-2","2.7321387014195949E-2","3.8166162438910869E-2","2.9136606935070981E-2","2.466837328368629E-2","2.5645799394926689E-2","2.0851757039795211E-2","1.126367232953223E-2","1.17291133348848E-2","9.5415406097277174E-3","1.3683965557365599E-2","1.3078892250407261E-2","9.9604375145450307E-3","7.6332324877821734E-3","5.259483360484059E-3","0.53162671631370728","2.1037933441936239E-2","2.764719571794275E-2","3.2068885268792181E-2","7.121247381894345E-3","9.0295555038398881E-3","5.9111007679776588E-3","8.0521293925994875E-3","3.3744472888061441E-2","6.6697696067023499E-2","3.3139399581103103E-2","3.5792413311612752E-2","2.9927856644170352E-2","3.4023737491272979E-2","3.388410518966721E-2","2.5180358389574119E-2","1.023970211775658E-2","1.9455434023737488E-2","1.754712590179195E-2","1.8524552013032349E-2","2.8810798231324181E-2","9.2157319059809166E-3","1.168256923434955E-2","1.2892715848266231E-2","0.15783104491505703"
"02446","0.44736179322503461","2.5091298325147969E-2","2.2320866389623471E-2","2.550056667925954E-2","8.468706712001008E-3","1.29391764261428E-2","3.3056290139780878E-3","5.2260420601939299E-3","3.7432313310666161E-2","5.5314192167233343E-2","4.0517567057045713E-2","3.6235990429416949E-2","1.9361541367585951E-2","2.3737564538471229E-2","2.7074675733534819E-2","1.7063342148344041E-2","5.8871678629895483E-3","2.1061579146203251E-2","2.9593250220375268E-3","1.441883893716157E-2","1.6118876715778871E-2","1.1050245561012469E-2","1.01372623095328E-2","6.1390253116735934E-3","0.55263820677496533","3.758972421609369E-2","1.933005918650044E-2","2.4146832892582799E-2","1.5835537086009321E-2","8.7205641606850522E-3","4.3445409897997734E-3","8.0594383578894337E-3","5.9217982621836043E-2","5.56290139780884E-2","4.8514041052764127E-2","4.0989799773328298E-2","3.5480418083364808E-2","3.038030474751291E-2","2.814506989044201E-2","2.285606346807707E-2","6.1705074927590987E-3","1.4922553834529661E-2","5.2575242412794361E-3","1.933005918650044E-2","2.7011711371363809E-2","1.961339881626999E-2","1.356882004785291E-2","7.5242412794358391E-3","0.15312932879989927"
"02458","0.51400064370775667","2.759897006758931E-2","2.8162214354682979E-2","3.1702607016414551E-2","3.0495654972642419E-2","6.9198583842935311E-3","5.3105889925973608E-3","2.65529449629868E-3","2.2368844544576761E-2","4.2162858062439662E-2","2.7357579658834889E-2","3.0012874155133571E-2","6.1635017701963307E-2","4.8680399098809141E-2","3.6610878661087858E-2","2.3093015770840039E-2","1.657547473447055E-2","1.6495011264885739E-2","6.8393949147087223E-3","9.2532990022529769E-3","1.8989378822014801E-2","8.770518184744126E-3","6.3566140971998714E-3","5.9542967492758284E-3","0.48599935629224328","2.0035403926617311E-2","2.550691985838429E-2","3.0254264563887991E-2","1.5368522690698419E-2","6.5175410363694881E-3","3.2185387833923401E-3","3.942710009655616E-3","1.400064370775668E-2","3.5001609269391699E-2","4.0392661731573867E-2","2.4943675571290631E-2","2.719665271966527E-2","5.0933376247183783E-2","4.2001931123270032E-2","3.2587705181847441E-2","1.2069520437721269E-2","1.4081107177341489E-2","1.126488574187319E-2","8.2072738976504672E-3","2.0759575152880589E-2","1.955262310910846E-2","9.8165432893466374E-3","1.8345671065336341E-2","0.144110074026392"
